Date,"""cabal"" (Truth Social)","""cabal"" (Gettr)","""cabal"" (8kun)","""cabal"" (4chan)","""cabal"" (Gab)"
2022-01-01,0,73,18,57,19
2022-01-02,0,139,15,92,50
2022-01-03,0,185,30,54,26
2022-01-04,0,214,31,87,36
2022-01-05,0,204,28,101,53
2022-01-06,0,253,13,100,53
2022-01-07,0,188,16,94,60
2022-01-08,0,222,30,92,45
2022-01-09,0,172,15,96,22
2022-01-10,0,175,13,73,26
2022-01-11,0,173,16,99,33
2022-01-12,0,217,15,95,36
2022-01-13,0,203,19,73,22
2022-01-14,0,173,12,126,16
2022-01-15,0,197,18,119,24
2022-01-16,0,267,23,88,41
2022-01-17,0,261,20,83,44
2022-01-18,0,223,24,84,28
2022-01-19,0,231,17,73,27
2022-01-20,0,246,38,85,34
2022-01-21,0,187,27,75,31
2022-01-22,0,186,35,67,32
2022-01-23,0,181,44,72,34
2022-01-24,0,211,52,77,37
2022-01-25,0,251,31,12,35
2022-01-26,0,193,14,63,28
2022-01-27,0,184,29,92,27
2022-01-28,0,198,18,85,22
2022-01-29,0,205,27,87,34
2022-01-30,0,213,19,98,29
2022-01-31,0,238,14,65,23
2022-02-01,0,218,27,96,42
2022-02-02,0,269,23,91,32
2022-02-03,0,228,12,68,50
2022-02-04,0,204,22,79,28
2022-02-05,0,250,19,76,43
2022-02-06,0,213,27,80,46
2022-02-07,0,216,11,80,34
2022-02-08,0,221,18,92,43
2022-02-09,0,254,26,57,50
2022-02-10,0,309,20,10,26
2022-02-11,0,250,17,6,25
2022-02-12,0,272,11,54,30
2022-02-13,0,339,12,83,55
2022-02-14,0,314,12,94,35
2022-02-15,0,319,14,98,48
2022-02-16,0,295,9,94,43
2022-02-17,0,301,19,108,31
2022-02-18,4,304,16,76,42
2022-02-19,1,320,15,104,41
2022-02-20,3,293,23,109,33
2022-02-21,5,269,24,159,37
2022-02-22,23,295,17,156,64
2022-02-23,21,273,26,151,57
2022-02-24,217,718,58,124,106
2022-02-25,88,682,39,171,312
2022-02-26,58,554,24,135,84
2022-02-27,88,499,61,179,69
2022-02-28,72,598,32,212,74
2022-03-01,94,561,19,170,256
2022-03-02,87,435,19,152,213
2022-03-03,99,511,15,135,237
2022-03-04,155,473,26,93,306
2022-03-05,133,405,48,97,202
2022-03-06,169,406,60,111,197
2022-03-07,122,433,26,122,183
