Date,"""deep state"" (Gab)","""deep state"" (Gettr)","""deep state"" (8kun)","""deep state"" (4chan)","""deep state"" (Truth Social)"
2022-01-01,24,116,10,32,0
2022-01-02,22,236,9,56,0
2022-01-03,38,338,11,36,0
2022-01-04,25,343,11,46,0
2022-01-05,45,415,16,52,0
2022-01-06,91,568,15,64,0
2022-01-07,55,517,18,63,0
2022-01-08,31,334,9,59,0
2022-01-09,38,334,19,47,0
2022-01-10,33,333,6,53,0
2022-01-11,26,376,17,54,0
2022-01-12,26,425,8,44,0
2022-01-13,34,371,20,59,0
2022-01-14,55,385,15,76,0
2022-01-15,51,347,28,50,0
2022-01-16,41,362,29,47,0
2022-01-17,42,355,42,50,0
2022-01-18,35,337,29,62,0
2022-01-19,29,343,13,53,0
2022-01-20,42,267,15,61,0
2022-01-21,40,313,21,40,0
2022-01-22,49,347,20,41,0
2022-01-23,32,279,10,36,0
2022-01-24,50,357,32,58,0
2022-01-25,34,372,40,6,0
2022-01-26,36,322,23,33,0
2022-01-27,30,301,15,53,0
2022-01-28,36,274,9,41,0
2022-01-29,37,269,20,41,0
2022-01-30,22,276,18,45,0
2022-01-31,43,343,7,44,0
2022-02-01,57,288,38,51,0
2022-02-02,44,368,18,37,0
2022-02-03,59,350,10,40,0
2022-02-04,51,334,13,41,0
2022-02-05,107,380,10,55,0
2022-02-06,27,311,12,40,0
2022-02-07,94,334,7,42,0
2022-02-08,64,282,10,52,0
2022-02-09,70,336,9,32,0
2022-02-10,58,352,8,9,0
2022-02-11,61,402,16,3,0
2022-02-12,33,372,29,34,0
2022-02-13,34,542,41,63,0
2022-02-14,55,582,14,55,1
2022-02-15,70,583,28,84,0
2022-02-16,46,416,10,54,0
2022-02-17,60,436,17,63,3
2022-02-18,60,396,25,50,3
2022-02-19,44,344,33,48,5
2022-02-20,42,320,29,58,7
2022-02-21,40,377,23,67,15
2022-02-22,51,394,22,76,41
2022-02-23,38,441,18,50,264
2022-02-24,125,1099,58,107,188
2022-02-25,128,1115,83,120,176
2022-02-26,123,1010,40,110,158
2022-02-27,123,1154,65,92,236
2022-02-28,135,1174,35,87,165
