Date,"""false flag"" (Truth Social)","""false flag"" (Gettr)","""false flag"" (Gab)","""false flag"" (8kun)","""false flag"" (4chan)"
2022-01-01,0,15,4,0,50
2022-01-02,0,12,6,0,97
2022-01-03,0,59,6,1,95
2022-01-04,0,66,7,6,82
2022-01-05,0,128,6,4,142
2022-01-06,0,334,27,26,172
2022-01-07,0,171,18,16,115
2022-01-08,0,77,19,1,97
2022-01-09,0,100,9,5,103
2022-01-10,0,115,8,6,104
2022-01-11,0,97,4,2,112
2022-01-12,0,120,12,3,130
2022-01-13,0,150,25,7,107
2022-01-14,0,351,13,68,362
2022-01-15,0,244,26,87,333
2022-01-16,0,209,30,26,171
2022-01-17,0,173,15,42,177
2022-01-18,0,135,25,48,200
2022-01-19,0,172,19,33,198
2022-01-20,0,123,10,21,142
2022-01-21,0,118,11,20,119
2022-01-22,0,92,9,22,101
2022-01-23,0,122,18,13,121
2022-01-24,0,169,13,39,217
2022-01-25,0,174,23,12,7
2022-01-26,0,156,10,9,149
2022-01-27,0,105,12,24,186
2022-01-28,0,186,21,10,233
2022-01-29,0,156,20,28,186
2022-01-30,0,130,12,14,192
2022-01-31,0,117,24,24,214
2022-02-01,0,108,23,14,171
2022-02-02,0,100,17,9,206
2022-02-03,0,151,16,42,223
2022-02-04,0,491,54,17,246
2022-02-05,0,283,37,8,217
2022-02-06,0,168,24,11,214
2022-02-07,0,159,18,4,209
2022-02-08,0,154,14,25,178
2022-02-09,0,157,16,11,90
2022-02-10,0,149,18,31,15
2022-02-11,0,153,21,17,4
2022-02-12,0,163,20,4,143
2022-02-13,0,195,13,2,143
2022-02-14,0,273,33,20,309
2022-02-15,0,294,37,8,265
2022-02-16,0,263,30,8,172
2022-02-17,0,338,49,33,353
2022-02-18,2,349,42,25,427
2022-02-19,1,221,29,12,245
2022-02-20,0,174,20,18,289
2022-02-21,2,192,21,15,361
2022-02-22,11,179,34,27,280
2022-02-23,27,218,22,18,288
2022-02-24,21,340,46,11,499
2022-02-25,7,151,43,13,265
2022-02-26,0,124,15,16,291
2022-02-27,5,114,30,7,284
2022-02-28,10,123,39,6,223
2022-03-01,11,118,50,0,225
2022-03-02,3,71,65,17,202
2022-03-03,5,80,44,4,277
2022-03-04,47,157,116,19,162
2022-03-05,19,120,61,30,208
2022-03-06,17,112,64,18,262
2022-03-07,19,152,113,13,170
2022-03-08,87,201,125,6,167
2022-03-09,124,247,171,9,308
2022-03-10,82,258,158,16,428
2022-03-11,177,253,166,64,393
2022-03-12,66,124,92,14,342
2022-03-13,59,156,98,6,248
2022-03-14,136,142,104,15,286
2022-03-15,54,125,120,16,237
2022-03-16,41,96,66,12,388
2022-03-17,115,107,69,15,288
2022-03-18,159,84,96,9,220
2022-03-19,65,48,49,1,185
2022-03-20,42,67,65,6,194
2022-03-21,45,119,81,16,168
2022-03-22,78,138,126,7,181
2022-03-23,42,62,69,8,189
2022-03-24,65,89,72,8,173
2022-03-25,60,101,99,22,217
2022-03-26,61,77,50,3,223
2022-03-27,70,79,41,8,209
2022-03-28,68,83,62,10,207
2022-03-29,74,78,54,3,175
2022-03-30,38,40,34,7,152
2022-03-31,62,48,17,3,108
2022-04-01,48,48,32,6,550
2022-04-02,34,45,29,2,239
2022-04-03,44,37,42,2,208
2022-04-04,124,118,102,6,408
2022-04-05,76,123,123,9,61
2022-04-06,35,80,101,15,3
2022-04-07,75,100,119,7,9
2022-04-08,74,144,79,4,278
2022-04-09,60,116,100,29,235
2022-04-10,63,68,73,3,155
2022-04-11,62,72,74,3,271
2022-04-12,295,394,182,21,462
2022-04-13,307,319,148,16,278
2022-04-14,170,159,71,23,217
2022-04-15,319,84,69,8,178
2022-04-16,252,77,62,7,142
2022-04-17,162,64,41,7,162
2022-04-18,77,87,68,14,214
2022-04-19,108,38,39,6,174
2022-04-20,64,57,46,3,155
2022-04-21,59,32,35,0,151
2022-04-22,55,49,27,10,13
2022-04-23,98,45,54,11,1
2022-04-24,64,41,28,7,1
2022-04-25,125,49,21,8,6
2022-04-26,74,49,28,3,5
2022-04-27,205,44,115,13,4
2022-04-28,184,41,16,5,108
